"k_4","Subtitles","k_5","k_6","Film","Rank","Title","n_days","ID","Critic.Rating","Critic.Votes","User.Votes","Budget","Star.Power","User.Rating","Runtime","Netflix.Original.dummy.","Adventure"," Drama"," Family"," History"," Romance","Drama"," Fantasy"," Sci-Fi","Documentary","Action"," Adventure"," Thriller"," Crime"," Mystery","Animation"," Comedy"," Musical","Crime"," Horror","Thriller"," Western","Comedy"," War"," Sport"," Music"," Reality-TV","Fantasy","Horror"," Biography"," Action","Biography","Romance","Mystery","Family"
"1","Subtitles/subtitles_tt10525672.txt","5","3","Films (Non-English)",10,"Silver Skates",21,10525672,52,20,52,0,11,7.1,130,"1",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Subtitles/subtitles_tt9737326.txt","3","2","Films (Non-English)",4,"Invasion",14,9737326,52,27,1700,0,21,6,60,"1",0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Subtitles/subtitles_tt11893274.txt","5","3","Films (English)",4,"Downfall: The Case Against Boeing",14,11893274,68,30,90,0,7,7.4,89,"1",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Subtitles/subtitles_tt11347146.txt","4","3","Films (Non-English)",6,"Mat Kilau",14,11347146,52,33,60,1750547.04595186,11,5.7,117,"1",0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Subtitles/subtitles_tt0430105.txt","3","2","Films (English)",6,"Four Brothers",7,430105,49,109,395,4.5e+07,26,6.8,109,"1",0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Subtitles/subtitles_tt6338498.txt","4","5","Films (English)",10,"Vivo",49,6338498,66,93,241,0,25,6.7,95,"1",0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Subtitles/subtitles_tt16453244.txt","2","4","Films (Non-English)",8,"How I Fell in Love with a Gangster",35,16453244,52,12,31,0,15,6,185,"1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Subtitles/subtitles_tt13323118.txt","1","6","Films (Non-English)",3,"The Wasteland",14,13323118,52,43,107,0,4,4.6,92,"1",0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1","Subtitles/subtitles_tt0896798.txt","5","3","Films (English)",10,"Cleaner",14,896798,49,45,100,2.5e+07,14,6.1,88,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Subtitles/subtitles_tt5113040.txt","3","2","Films (English)",5,"The Secret Life of Pets 2",21,5113040,55,163,317,8e+07,34,6.4,86,"1",0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Subtitles/subtitles_tt13109952.txt","2","4","Films (Non-English)",9,"The Trip",28,13109952,52,64,180,0,8,6.9,113,"1",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Subtitles/subtitles_tt0069697.txt","2","4","Films (Non-English)",10,"Watch Out, We're Mad",14,69697,52,25,46,0,6,7.3,102,"1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Subtitles/subtitles_tt10293406.txt","2","4","Films (English)",9,"The Power of the Dog",21,10293406,89,323,1600,0,19,6.8,126,"1",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2","Subtitles/subtitles_tt15565714.txt","1","6","Films (Non-English)",9,"David and the Elves",21,15565714,52,10,11,0,11,5.2,105,"1",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"4","Subtitles/subtitles_tt14369276.txt","2","4","Films (Non-English)",3,"My Father's Violin",21,14369276,52,10,52,0,4,6.4,112,"1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Subtitles/subtitles_tt10360772.txt","2","4","Films (Non-English)",9,"My Best Friend Anne Frank",21,10360772,52,24,41,0,6,6.2,103,"1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Subtitles/subtitles_tt20597408.txt","4","5","Films (Non-English)",5,"Heart Parade",21,20597408,52,11,7,0,6,5,108,"1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"4","Subtitles/subtitles_tt13164942.txt","5","1","Films (Non-English)",8,"My Wonderful Life",7,13164942,52,7,6,0,8,5.9,99,"1",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"3","Subtitles/subtitles_tt4733624.txt","4","5","Films (English)",8,"Fatherhood",21,4733624,53,86,396,0,22,6.6,109,"1",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"3","Subtitles/subtitles_tt10709484.txt","1","6","Films (Non-English)",8,"Don",14,10709484,52,5,123,0,8,6.9,165,"1",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"1","Subtitles/subtitles_tt10023022.txt","3","2","Films (English)",4,"Clean",7,10023022,44,28,144,0,14,5.6,94,"1",0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Subtitles/subtitles_tt13611770.txt","4","5","Films (Non-English)",6,"Seoul Vibe",21,13611770,52,14,12,0,12,5.5,138,"1",0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Subtitles/subtitles_tt13323092.txt","3","2","Films (Non-English)",7,"Murder by the Coast",7,13323092,52,13,17,0,1,6.5,88,"1",0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Subtitles/subtitles_tt6455162.txt","4","5","Films (Non-English)",10,"Bhool Bhulaiyaa 2",28,6455162,52,10,1000,0,12,5.7,143,"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
